NAME,GEO_ID,households,CountyFIPS,Annual Median Household Income,Annual Transportation Cost,Annual Housing Cost,Annual Housing and Transportation Cost,Transportation Cost as % of Annual Median Household Income,Housing Cost as % of Annual Median Household Income,Housing and Transportation Cost as % of Annual Median Household Income,'Discretionary Spending': Median Annual Household Income Minus Housing and Transportation Costs,Year
Block Group 2; Census Tract 403.09; Rutherford County; Tennessee,471490403092,813.0,149.0,80515.0,16631.0,13404.0,30035.0,20.655778426380177,16.64782959696951,37.30360802334969,50480.0,2020
Block Group 3; Census Tract 403.09; Rutherford County; Tennessee,471490403093,790.0,149.0,75438.0,16152.0,14100.0,30252.0,21.41095999363716,18.690845462499006,40.10180545613616,45186.0,2020
Block Group 2; Census Tract 412.01; Rutherford County; Tennessee,471490412012,684.0,149.0,103125.0,16169.0,17424.0,33593.0,15.679030303030302,16.896,32.5750303030303,69532.0,2020
Block Group 2; Census Tract 405.01; Rutherford County; Tennessee,471490405012,962.0,149.0,99592.0,16921.0,17364.0,34285.0,16.9903205076713,17.435135352237126,34.425455859908425,65307.0,2020
Block Group 1; Census Tract 409.07; Rutherford County; Tennessee,471490409071,887.0,149.0,66923.0,16708.0,17964.0,34672.0,24.96600570805254,26.842789474470663,51.80879518252319,32251.0,2020
Block Group 2; Census Tract 408.06; Rutherford County; Tennessee,471490408062,831.0,149.0,147517.0,17505.0,22944.0,40449.0,11.86642895395107,15.55346163493021,27.41989058888128,107068.0,2020
Block Group 1; Census Tract 423.02; Rutherford County; Tennessee,471490423021,1391.0,149.0,87383.0,15984.0,16944.0,32928.0,18.291887438060034,19.39049929620178,37.68238673426181,54455.0,2020
Block Group 2; Census Tract 409.01; Rutherford County; Tennessee,471490409012,548.0,149.0,52204.0,13319.0,13428.0,26747.0,25.513370622940773,25.7221668837637,51.23553750670447,25457.0,2020
Block Group 1; Census Tract 420; Rutherford County; Tennessee,471490420001,1009.0,149.0,70077.0,14011.0,15888.0,29899.0,19.993721192402642,22.672203433366153,42.665924625768795,40178.0,2020
Block Group 3; Census Tract 401.05; Rutherford County; Tennessee,471490401053,590.0,149.0,56891.0,16223.0,13680.0,29903.0,28.515933979012498,24.045982668611906,52.56191664762441,26988.0,2020
Block Group 2; Census Tract 408.10; Rutherford County; Tennessee,471490408102,526.0,149.0,88839.0,16299.0,14604.0,30903.0,18.346672069699117,16.43872623509945,34.78539830479857,57936.0,2020
Block Group 1; Census Tract 406; Rutherford County; Tennessee,471490406001,720.0,149.0,55417.0,16365.0,14448.0,30813.0,29.530649439702618,26.0714221267842,55.60207156648682,24604.0,2020
Block Group 2; Census Tract 407.04; Rutherford County; Tennessee,471490407042,915.0,149.0,99132.0,17103.0,13272.0,30375.0,17.25275390388573,13.388209659847474,30.6409635637332,68757.0,2020
Block Group 4; Census Tract 405.02; Rutherford County; Tennessee,471490405024,676.0,149.0,99263.0,17486.0,12408.0,29894.0,17.615828657203593,12.500125928090021,30.115954585293615,69369.0,2020
Block Group 2; Census Tract 419; Rutherford County; Tennessee,471490419002,286.0,149.0,64955.0,12401.0,6144.0,18545.0,19.09167885459164,9.458856131167732,28.550534985759374,46410.0,2020
Block Group 1; Census Tract 401.01; Rutherford County; Tennessee,471490401011,412.0,149.0,43594.0,13448.0,12300.0,25748.0,30.84828187365234,28.214891957608845,59.06317383126118,17846.0,2020
Block Group 1; Census Tract 404.04; Rutherford County; Tennessee,471490404041,216.0,149.0,44511.0,12795.0,8988.0,21783.0,28.745703309294328,20.192761339893508,48.93846464918784,22728.0,2020
Block Group 3; Census Tract 414.04; Rutherford County; Tennessee,471490414043,659.0,149.0,52862.0,10445.0,15432.0,25877.0,19.75899511936741,29.192993076311907,48.95198819567931,26985.0,2020
Block Group 1; Census Tract 405.02; Rutherford County; Tennessee,471490405021,754.0,149.0,84722.0,17095.0,13848.0,30943.0,20.17775784329926,16.345223200585444,36.522981043884705,53779.0,2020
Block Group 2; Census Tract 406; Rutherford County; Tennessee,471490406002,323.0,149.0,98000.0,17329.0,17856.0,35185.0,17.68265306122449,18.220408163265304,35.9030612244898,62815.0,2020
Block Group 2; Census Tract 409.04; Rutherford County; Tennessee,471490409042,302.0,149.0,115750.0,15865.0,17100.0,32965.0,13.706263498920087,14.773218142548597,28.479481641468684,82785.0,2020
Block Group 1; Census Tract 403.10; Rutherford County; Tennessee,471490403101,301.0,149.0,114671.0,16976.0,13404.0,30380.0,14.804091705836697,11.68909314473581,26.49318485057251,84291.0,2020
Block Group 3; Census Tract 408.09; Rutherford County; Tennessee,471490408093,325.0,149.0,82870.0,17308.0,13308.0,30616.0,20.885724628936888,16.058887414021964,36.94461204295885,52254.0,2020
Block Group 3; Census Tract 414.06; Rutherford County; Tennessee,471490414063,695.0,149.0,40703.0,8844.0,11832.0,20676.0,21.728128147802373,29.069110384983908,50.79723853278628,20027.0,2020
Block Group 2; Census Tract 414.06; Rutherford County; Tennessee,471490414062,975.0,149.0,82768.0,12061.0,14736.0,26797.0,14.572056833558863,17.803982215348928,32.37603904890779,55971.0,2020
Block Group 1; Census Tract 403.03; Rutherford County; Tennessee,471490403031,1032.0,149.0,57446.0,13497.0,12348.0,25845.0,23.495108449674476,21.494969188455247,44.99007763812972,31601.0,2020
Block Group 3; Census Tract 418; Rutherford County; Tennessee,471490418003,1089.0,149.0,55529.0,11497.0,13656.0,25153.0,20.704496749446236,24.592555241405393,45.29705199085163,30376.0,2020
Block Group 4; Census Tract 410; Rutherford County; Tennessee,471490410004,335.0,149.0,93882.0,17260.0,19404.0,36664.0,18.384780895166273,20.66849875375471,39.053279648920984,57218.0,2020
Block Group 2; Census Tract 413.01; Rutherford County; Tennessee,471490413012,312.0,149.0,128304.0,15402.0,18816.0,34218.0,12.00430228208006,14.665170220725777,26.669472502805835,94086.0,2020
Block Group 1; Census Tract 408.09; Rutherford County; Tennessee,471490408091,921.0,149.0,76613.0,16954.0,17220.0,34174.0,22.129403626016472,22.476603187448603,44.60600681346508,42439.0,2020
Block Group 1; Census Tract 411.02; Rutherford County; Tennessee,471490411021,520.0,149.0,87383.0,16032.0,19272.0,35304.0,18.34681803096712,22.05463305219551,40.40145108316263,52079.0,2020
Block Group 3; Census Tract 403.10; Rutherford County; Tennessee,471490403103,664.0,149.0,66218.0,15862.0,13932.0,29794.0,23.95421184572171,21.039596484339608,44.99380833006131,36424.0,2020
